"Crash ID","Traffic Unit ID","Involved Person ID","DOT Case Number","Year","Involved Person Identifier","Vehicle ID","Injury Classification","Injury Classification Text Format","Seating Position","Seating Position Text Format","Involved Person Age","Occupant Protection System Use","Occupant Protection System Use Text Format","Airbag Status","Airbag Status Text Format","Ejection Status","Ejection Status Text Format"
"1435836","2681013","3648266","101363","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","43","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1436077","2681440","3648858","101731","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","10","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1436376","2681960","3649639","102217","1995","01","01","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","24","1","None Used-Vehicle Occupant","3","Not Applicable","3","Partially Ejected"
"1436379","2681967","3649646","102223","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","13","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1437373","2683709","3651943","103723","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","10","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1437373","2683709","3651946","103723","1995","02","02","N","Not Injured","7","Third Row Behind Driver/Motorcycle Passenger","8","8","No Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1437586","2684118","3652491","104051","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","27","9","Restraint Use Unknown","3","Not Applicable","3","Partially Ejected"
"1437688","2684303","3652788","104192","1995","01","01","N","Not Injured","1","Front Seat Left/Motorcycle Driver","16","7","Helmet/No High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1438381","2685589","3654573","105256","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","12","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1439109","2686952","3656538","106279","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","33","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1439151","2687023","3656639","106359","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","57","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1439262","2687209","3656866","106503","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","13","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1439681","2688002","3657900","107162","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","12","8","No Helmet/High Visibility Clothing","3","Not Applicable","5","Unknown"
"1440280","2689137","3659400","108087","1995","02","02","N","Not Injured","1","Front Seat Left/Motorcycle Driver","39","6","Helmet/High Visibility Clothing","3","Not Applicable","1","Not Applicable"
"1440867","2690255","3660832","108993","1995","02","02","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","17","7","Helmet/No High Visibility Clothing","3","Not Applicable","5","Unknown"
"1440910","2690334","3660922","109063","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","32","1","None Used-Vehicle Occupant","3","Not Applicable","1","Not Applicable"
"1440934","2690384","3660994","109097","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","23","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1441065","2690634","3661323","109272","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1442278","2692848","3664274","111296","1995","02","02","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","7","9","Restraint Use Unknown","3","Not Applicable","2","Totally Ejected"
"1442786","2693855","3665556","112070","1995","02","02","N","Not Injured","1","Front Seat Left/Motorcycle Driver","13","8","No Helmet/High Visibility Clothing","3","Not Applicable","2","Totally Ejected"
"1444441","2696937","3669808","114624","1995","01","01","B","Non Incapacitating Evident Injury","1","Front Seat Left/Motorcycle Driver","41","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1444479","2697001","3669899","114665","1995","01","01","A","Incapacitating Injury (Prevents Return to Normal Activity)","1","Front Seat Left/Motorcycle Driver","16","1","None Used-Vehicle Occupant","3","Not Applicable","2","Totally Ejected"
"1444659","2697314","3670337","114850","1995","02","02","C","Possible Injury (Claim of Non-Evident Injury)","1","Front Seat Left/Motorcycle Driver","12","7","Helmet/No High Visibility Clothing","3","Not Applicable","5","Unknown"
