"Crash ID","Traffic Unit ID","DOT Case Number","Year","Traffic Unit Number","Traffic Unit Type Code","Traffic Unit Type Code Text Format","Qualifying Commercial Vehicle Code","Qualifying Commercial Vehicle Code Text Format","Vehicle Type","Vehicle Type Text Format","Vehicle Maneuver Prefix","Vehicle Maneuver Prefix Text Format","Vehicle Maneuver Suffix","Vehicle Maneuver Suffix Text Format","Pedestrian Maneuver","Pedestrian Maneuver Text Format","Vehicle Operator or Pedestrian Sex","Vehicle Operator or Pedestrian Sex Text Format","Vehicle Operator or Pedestrian Age","Vehicle or Pedestrian Direction","Vehicle or Pedestrian Direction Text Format","Vehicle Operator or Pedestrian Alcohol or Drugs Code","Vehicle Operator or Pedestrian Alcohol or Drugs Code Text Format","First Object Struck","First Object Struck Text Format","Second Object Struck","Second Object Struck Text Format"
"1435836","2681013","101363","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","3","Vehicle on Wrong Side of Road","","","1","Male","43","2","South","0","No indication or unknown","","","",""
"1436077","2681440","101731","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","11","Vehicle Making “U“ Turn","","","1","Male","10","4","West","0","No indication or unknown","","","",""
"1436376","2681960","102217","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","9","Vehicle Turning Left from Proper Lane","","","1","Male","24","3","East","0","No indication or unknown","","","",""
"1436379","2681967","102223","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","9","Vehicle Turning Left from Proper Lane","","","2","Female","13","1","North","0","No indication or unknown","","","",""
"1437373","2683709","103723","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","4","Vehicle Passing Same Direction on Left","","","2","Female","10","2","South","0","No indication or unknown","","","",""
"1437586","2684118","104051","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","3","Vehicle on Wrong Side of Road","","","1","Male","27","2","South","0","No indication or unknown","","","",""
"1437688","2684303","104192","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","16","3","East","0","No indication or unknown","","","",""
"1438381","2685589","105256","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","3","Vehicle on Wrong Side of Road","","","1","Male","12","1","North","0","No indication or unknown","","","",""
"1439109","2686952","106279","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","3","Vehicle on Wrong Side of Road","","","1","Male","33","3","East","0","No indication or unknown","","","",""
"1439151","2687023","106359","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","57","1","North","0","No indication or unknown","","","",""
"1439262","2687209","106503","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","2","Female","13","1","North","0","No indication or unknown","","","",""
"1439681","2688002","107162","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","3","Vehicle on Wrong Side of Road","","","1","Male","12","3","East","0","No indication or unknown","","","",""
"1440280","2689137","108087","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","39","1","North","0","No indication or unknown","","","",""
"1440867","2690255","108993","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","17","1","North","0","No indication or unknown","","","",""
"1440910","2690334","109063","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","32","2","South","0","No indication or unknown","","","",""
"1440934","2690384","109097","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","2","Female","23","4","West","0","No indication or unknown","","","",""
"1441065","2690634","109272","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","","4","West","0","No indication or unknown","","","",""
"1442278","2692848","111296","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","2","Female","7","2","South","0","No indication or unknown","","","",""
"1442786","2693855","112070","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","13","4","West","0","No indication or unknown","","","",""
"1444441","2696937","114624","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","41","3","East","0","No indication or unknown","","","",""
"1444479","2697001","114665","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","12","Vehicle Turning Right from Driveway","","","1","Male","16","3","East","0","No indication or unknown","","","",""
"1444659","2697314","114850","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","9","Vehicle Turning Left from Proper Lane","","","2","Female","12","3","East","0","No indication or unknown","","","",""
"1445002","2697957","115204","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","13","2","South","0","No indication or unknown","8","Curbing","",""
"1445307","2698538","115517","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","27","2","South","0","No indication or unknown","","","",""
"1445363","2698640","115576","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","47","4","West","0","No indication or unknown","","","",""
"1445958","2699668","116196","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","17","Vehicle Skidding in Roadway","","","1","Male","39","4","West","1","Had Been Drinking (Blood Alcohol < 0.10)","","","",""
"1446344","2700310","116598","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","33","1","North","0","No indication or unknown","","","",""
"1446538","2700678","116804","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","4","Vehicle Skidded Slowing or Stopping For","35","Stopped Vehicle","","","1","Male","19","2","South","0","No indication or unknown","","","",""
"1446831","2701219","117121","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","9","Vehicle Turning Left from Proper Lane","","","1","Male","","3","East","0","No indication or unknown","","","",""
"1446837","2701230","117127","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","2","Female","16","4","West","0","No indication or unknown","","","",""
"1446851","2701254","117142","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","2","Female","11","1","North","0","No indication or unknown","","","",""
"1446923","2701376","117222","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","12","1","North","0","No indication or unknown","","","",""
"1446924","2701379","117223","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","34","3","East","0","No indication or unknown","","","",""
"1446997","2701516","117297","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","3","Vehicle on Wrong Side of Road","","","1","Male","16","2","South","0","No indication or unknown","","","",""
"1447076","2701660","117379","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","10","4","West","0","No indication or unknown","","","",""
"1447410","2702307","117734","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","26","4","West","0","No indication or unknown","","","",""
"1447581","2702623","117913","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","22","2","South","0","No indication or unknown","","","",""
"1447997","2703375","118356","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","47","2","South","0","No indication or unknown","","","",""
"1447999","2703378","118358","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","27","1","North","0","No indication or unknown","","","",""
"1448009","2703399","118368","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","15","3","East","0","No indication or unknown","","","",""
"1448028","2703430","118387","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","13","2","South","0","No indication or unknown","","","",""
"1448287","2703924","118665","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","57","4","West","0","No indication or unknown","","","",""
"1448290","2703930","118668","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","10","1","North","0","No indication or unknown","","","",""
"1448377","2704100","118758","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","40","3","East","0","No indication or unknown","","","",""
"1448408","2704158","118792","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","13","3","East","0","No indication or unknown","","","",""
"1448676","2704679","119076","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","27","3","East","0","No indication or unknown","","","",""
"1448797","2704906","119209","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","16","2","South","0","No indication or unknown","","","",""
"1448868","2705027","119282","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","14","1","North","0","No indication or unknown","","","",""
"1448897","2705079","119314","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","9","Vehicle Turning Left from Proper Lane","","","1","Male","13","4","West","0","No indication or unknown","","","",""
"1448935","2705154","119355","1995","1","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","5","Vehicle Passing Same Direction on Right","","","1","Male","32","4","West","0","No indication or unknown","","","",""
"1449020","2705299","119446","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","9","Vehicle Turning Left from Proper Lane","","","1","Male","32","1","North","0","No indication or unknown","","","",""
"1449039","2705330","119465","1995","2","1","Contact Vehicle","2","No, this is not a Qualifying Commercial Vehicle","5","Pedalcycle","1","None Apply","1","Vehicle Going Straight","","","1","Male","29","1","North","0","No indication or unknown","","","",""
